provinsi,Region,tahun,neet_rate,PPM,TPT,GR,APS1,APS2,TIK,PDRB,KP,PL,LAJU
Maluku Utara,Indonesia_Timur,2020,26.37,6.97,5.15,0.29,76.83,32.23,62.11,33069,40,105.1,2.07
Maluku Utara,Indonesia_Timur,2021,27.59,6.38,4.71,0.278,77.01,32.21,70.33,40381,41,105,1.69
Maluku Utara,Indonesia_Timur,2022,29.52,6.37,3.98,0.309,77.7,32.65,77.48,53776,40,104.8,1.61
Maluku Utara,Indonesia_Timur,2023,29.71,6.46,4.31,0.3,78.38,32.19,81.01,63675,41,105.1,1.52
Maluku Utara,Indonesia_Timur,2024,27.85,6.03,4.03,0.296,76.02,29.5,84.92,70660,41,105.1,1.48
Papua,Indonesia_Timur,2016,16.53,28.4,3.35,0.399,62.07,25.53,23.09,54002,10,111.4,1.95
Papua,Indonesia_Timur,2017,16.35,27.76,3.62,0.398,63.35,26.26,30.42,57864,10,111.1,1.93
Papua,Indonesia_Timur,2018,16.74,27.43,3,0.398,63.48,27.3,33.48,63386,10,110.9,1.9
Papua,Indonesia_Timur,2019,17.57,26.55,3.51,0.391,63.5,24.41,32.88,56619,11,110.6,1.88
Papua,Indonesia_Timur,2020,20.92,26.8,4.28,0.395,64.83,25.51,39.06,46416,13,114.2,4.13
Papua,Indonesia_Timur,2021,18.51,27.38,3.33,0.396,63.98,25.26,34.95,54051,14,113.9,1.61
Papua,Indonesia_Timur,2022,20.07,26.8,2.83,0.393,65.93,25.12,33.06,59384,14,113.5,1.52
Papua,Indonesia_Timur,2023,25.06,26.03,2.67,0.386,64.15,26.06,36.81,78055,14,112.9,1.49
Papua,Indonesia_Timur,2024,27.85,18.09,6.48,0.405,80.38,38.17,76.75,81009,13,109.7,1.36
Papua Barat,Indonesia_Timur,2016,23.64,24.88,7.46,0.401,80.28,30.53,39.4,74585,9,111.3,2.61
Papua Barat,Indonesia_Timur,2017,18.3,23.12,6.49,0.387,80.6,33.91,50.04,78424,9,111.2,2.59
Papua Barat,Indonesia_Timur,2018,18.61,22.66,6.45,0.391,80.81,36.07,61.29,84958,9,111.1,2.57
Papua Barat,Indonesia_Timur,2019,20.77,21.51,6.43,0.381,81.49,35.05,65.4,87542,9,111,2.55
Papua Barat,Indonesia_Timur,2020,24.01,21.7,6.8,0.376,81.51,35.18,70.93,73933,11,111.2,3.94
Papua Barat,Indonesia_Timur,2021,21.97,21.82,5.84,0.374,81.21,34.77,74.27,74022,11,111.2,2.69
Papua Barat,Indonesia_Timur,2022,26.29,21.43,5.37,0.384,80.56,34.98,76.29,78141,12,111.1,2.46
Papua Barat,Indonesia_Timur,2023,27.98,20.49,5.38,0.37,80.58,35.74,76.93,108110,12,110.1,1.68
Papua Barat,Indonesia_Timur,2024,26.93,21.09,4.13,0.385,75.32,31.18,80.17,131636,10,110.8,1.71
